x	Re=300	Re=350	Re=400	Re=450	Re=500	Re=550	Re=600
0.1	-4.019	-3.919	-3.819	-3.16	-0.819	-0.669	-0.9785
0.2	-3.96	-3.76	-3.56	-2.84	-0.56	-0.36	-0.54
0.3	-3.921	-3.621	-3.321	-2.54	-0.321	-0.071	-0.1315
0.4	-3.902	-3.502	-3.102	-2.26	-0.102	0.198	0.247
0.5	-3.903	-3.403	-2.903	-2	0.097	0.447	0.5955
0.6	-3.924	-3.324	-2.724	-1.76	0.276	0.676	0.914
0.7	-3.965	-3.265	-2.565	-1.54	0.435	0.885	1.2025
0.8	-4.026	-3.226	-2.426	-1.34	0.574	1.074	1.461
0.9	-4.107	-3.207	-2.307	-1.16	0.693	1.243	1.6895
1	-4.208	-3.208	-2.208	-1	0.792	1.392	1.888
1.1	-4.329	-3.229	-2.129	-0.86	0.871	1.521	2.0565
1.2	-4.47	-3.27	-2.07	-0.74	0.93	1.63	2.195
1.3	-4.631	-3.331	-2.031	-0.64	0.969	1.719	2.3035
1.4	-4.812	-3.412	-2.012	-0.56	0.988	1.788	2.382
1.5	-5.013	-3.513	-2.013	-0.5	0.987	1.837	2.4305
1.6	-5.234	-3.634	-2.034	-0.46	0.966	1.866	2.449
1.7	-5.475	-3.775	-2.075	-0.44	0.925	1.875	2.4375
1.8	-5.736	-3.936	-2.136	-0.44	0.864	1.864	2.396
1.9	-6.017	-4.117	-2.217	-0.46	0.783	1.833	2.3245
2	-6.318	-4.318	-2.318	-0.5	0.682	1.782	2.223
2.1	-6.639	-4.539	-2.439	-0.56	0.561	1.711	2.0915
2.2	-6.98	-4.78	-2.58	-0.64	0.42	1.62	1.93
2.3	-7.341	-5.041	-2.741	-0.74	0.259	1.509	1.7385
2.4	-7.722	-5.322	-2.922	-0.86	0.078	1.378	1.517
2.5	-8.123	-5.623	-3.123	-1	-0.123	1.227	1.2655
2.6	-8.544	-5.944	-3.344	-1.16	-0.344	1.056	0.984
2.7	-8.985	-6.285	-3.585	-1.34	-0.585	0.865	0.6725
2.8	-9.446	-6.646	-3.846	-1.54	-0.846	0.654	0.331
2.9	-9.927	-7.027	-4.127	-1.76	-1.127	0.423	-0.0405
3	-10.428	-7.428	-4.428	-2	-1.428	0.172	-0.442
3.1	-10.949	-7.849	-4.749	-2.26	-1.749	-0.099	-0.8735
3.2	-11.49	-8.29	-5.09	-2.54	-2.09	-0.39	-1.335
3.3	-12.051	-8.751	-5.451	-2.84	-2.451	-0.701	-1.8265
3.4	-12.632	-9.232	-5.832	-3.16	-2.832	-1.032	-2.348
3.5	-13.233	-9.733	-6.233	-3.5	-3.233	-1.383	-2.8995
3.6	-13.854	-10.254	-6.654	-3.86	-3.654	-1.754	-3.481
3.7	-14.495	-10.795	-7.095	-4.24	-4.095	-2.145	-4.0925
